symbol,ok,bars,days,first,last
NSE:BANKNIFTY26SEP58400PE,True,10128,27.0,2026-08-03 09:30:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58500CE,True,10525,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58500PE,True,10511,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58600CE,True,8515,24.0,2026-08-04 14:23:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58600PE,True,8994,25.0,2026-08-03 09:45:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58700CE,True,7908,21.0,2026-08-11 14:36:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58700PE,True,7550,22.0,2026-08-03 10:53:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58800CE,True,8584,23.0,2026-08-07 13:52:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58800PE,True,5992,19.0,2026-08-03 11:51:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25350CE,False,0,,,
NSE:FINNIFTY26SEP25350PE,False,0,,,
NSE:FINNIFTY26SEP25400CE,False,0,,,
NSE:FINNIFTY26SEP25400PE,False,0,,,
NSE:FINNIFTY26SEP25450CE,False,0,,,
NSE:FINNIFTY26SEP25450PE,False,0,,,
NSE:FINNIFTY26SEP25500CE,True,507,2.0,2026-08-25 13:13:00,2026-09-02 15:30:00
NSE:FINNIFTY26SEP25500PE,True,2242,5.0,2026-09-02 09:17:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25550CE,False,0,,,
NSE:FINNIFTY26SEP25550PE,True,1650,5.0,2026-09-02 15:01:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25600CE,False,0,,,
NSE:FINNIFTY26SEP25600PE,False,0,,,
NSE:FINNIFTY26SEP25650CE,True,614,2.0,2026-09-02 11:04:00,2026-09-03 15:30:00
NSE:FINNIFTY26SEP25650PE,True,1014,3.0,2026-09-04 09:23:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25700CE,True,1330,3.0,2026-09-02 11:04:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25700PE,True,2227,5.0,2026-09-02 09:18:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25750CE,True,951,2.0,2026-09-02 12:00:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25750PE,True,2177,6.0,2026-09-01 13:49:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25800CE,True,2120,5.0,2026-09-02 09:39:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25800PE,True,2146,5.0,2026-09-02 10:53:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25850CE,True,2132,7.0,2026-08-31 14:40:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25850PE,True,2614,6.0,2026-09-01 09:22:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25900CE,True,2360,6.0,2026-09-01 13:40:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25900PE,True,2282,6.0,2026-09-01 14:49:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25950CE,True,2636,7.0,2026-08-31 14:05:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP25950PE,True,2199,5.0,2026-09-02 09:19:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26000CE,True,4630,12.0,2026-08-21 12:09:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26000PE,True,4494,11.0,2026-08-25 09:17:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26050CE,True,2511,6.0,2026-09-01 10:49:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26050PE,True,1479,4.0,2026-09-01 09:26:00,2026-09-07 15:30:00
NSE:FINNIFTY26SEP26100CE,True,3632,9.0,2026-08-26 09:47:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26100PE,True,4680,12.0,2026-08-24 11:14:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26150CE,True,2922,7.0,2026-08-31 09:52:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26150PE,True,1291,4.0,2026-09-01 09:16:00,2026-09-07 15:30:00
NSE:FINNIFTY26SEP26200CE,True,4761,13.0,2026-08-21 14:35:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26200PE,True,3068,8.0,2026-08-28 13:20:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26250CE,True,3873,10.0,2026-08-26 11:12:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26250PE,True,728,2.0,2026-09-04 09:26:00,2026-09-07 15:30:00
NSE:FINNIFTY26SEP26300CE,True,3786,10.0,2026-08-25 14:49:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26300PE,True,2580,7.0,2026-08-28 09:40:00,2026-09-07 15:30:00
NSE:FINNIFTY26SEP26350CE,True,3871,10.0,2026-08-26 11:11:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26350PE,True,2388,7.0,2026-08-27 11:01:00,2026-09-04 15:30:00
NSE:FINNIFTY26SEP26400CE,True,4400,11.0,2026-08-25 10:49:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26400PE,True,4011,10.0,2026-08-26 09:36:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26450CE,True,4017,10.0,2026-08-26 09:56:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26450PE,False,0,,,
NSE:FINNIFTY26SEP26500CE,True,4093,10.0,2026-08-26 09:47:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26500PE,True,5220,14.0,2026-08-03 09:25:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26550CE,False,0,,,
NSE:FINNIFTY26SEP26550PE,False,0,,,
NSE:FINNIFTY26SEP26600CE,False,0,,,
NSE:FINNIFTY26SEP26600PE,False,0,,,
NSE:FINNIFTY26SEP26650CE,True,3661,10.0,2026-08-26 15:14:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26650PE,True,1987,6.0,2026-08-26 10:41:00,2026-09-07 15:30:00
NSE:FINNIFTY26SEP26700CE,False,0,,,
NSE:FINNIFTY26SEP26700PE,True,1195,4.0,2026-08-25 10:46:00,2026-08-28 15:30:00
NSE:FINNIFTY26SEP26750CE,False,0,,,
NSE:FINNIFTY26SEP26750PE,False,0,,,
NSE:FINNIFTY26SEP26800CE,False,0,,,
NSE:FINNIFTY26SEP26800PE,True,318,1.0,2026-08-27 10:13:00,2026-08-27 15:30:00
NSE:FINNIFTY26SEP26850CE,False,0,,,
NSE:FINNIFTY26SEP26850PE,True,338,1.0,2026-08-26 09:53:00,2026-08-26 15:30:00
NSE:FINNIFTY26SEP26900CE,False,0,,,
NSE:FINNIFTY26SEP26900PE,True,79,1.0,2026-08-26 14:12:00,2026-08-26 15:30:00
NSE:FINNIFTY26SEP26950CE,True,1077,2.0,2026-08-31 10:04:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP26950PE,False,0,,,
NSE:FINNIFTY26SEP27000CE,True,4829,12.0,2026-08-24 10:05:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP27000PE,True,2337,10.0,2026-08-04 12:02:00,2026-08-31 15:30:00
NSE:FINNIFTY26SEP27050CE,False,0,,,
NSE:FINNIFTY26SEP27050PE,True,629,2.0,2026-08-26 10:27:00,2026-08-27 15:30:00
NSE:FINNIFTY26SEP27100CE,False,0,,,
NSE:FINNIFTY26SEP27100PE,True,301,1.0,2026-08-26 10:30:00,2026-08-26 15:30:00
NSE:FINNIFTY26SEP27150CE,True,3394,10.0,2026-08-26 11:41:00,2026-09-08 15:30:00
NSE:FINNIFTY26SEP27150PE,True,626,2.0,2026-08-26 10:30:00,2026-08-27 15:30:00
NSE:FINNIFTY26SEP27200CE,False,0,,,
NSE:FINNIFTY26SEP27200PE,True,586,2.0,2026-08-26 11:10:00,2026-08-27 15:30:00
NSE:FINNIFTY26SEP27250CE,False,0,,,
NSE:FINNIFTY26SEP27250PE,True,665,2.0,2026-08-26 10:31:00,2026-08-27 15:30:00
